id,value,nominal,currency_name,currency_code,date
219,40.4748,1,Австралийский доллар,AUD,2022-11-19
220,35.5142,1,Азербайджанский манат,AZN,2022-11-19
221,71.1086,1,Фунт стерлингов Соединенного королевства,GBP,2022-11-19
222,15.2772,100,Армянских драмов,AMD,2022-11-19
223,25.0754,1,Белорусский рубль,BYN,2022-11-19
224,31.853,1,Болгарский лев,BGN,2022-11-19
225,11.047,1,Бразильский реал,BRL,2022-11-19
226,15.2691,100,Венгерских форинтов,HUF,2022-11-19
227,77.3234,10,Гонконгских долларов,HKD,2022-11-19
228,83.7552,10,Датских крон,DKK,2022-11-19
229,60.3741,1,Доллар США,USD,2022-11-19
230,62.4484,1,Евро,EUR,2022-11-19
231,74.861,100,Индийских рупий,INR,2022-11-19
232,13.152,100,Казахстанских тенге,KZT,2022-11-19
233,45.224,1,Канадский доллар,CAD,2022-11-19
234,71.4966,100,Киргизских сомов,KGS,2022-11-19
235,84.7201,10,Китайских юаней,CNY,2022-11-19
236,31.5036,10,Молдавских леев,MDL,2022-11-19
237,59.8036,10,Норвежских крон,NOK,2022-11-19
238,13.337,1,Польский злотый,PLN,2022-11-19
239,12.6788,1,Румынский лей,RON,2022-11-19
240,79.1311,1,СДР (специальные права заимствования),XDR,2022-11-19
241,43.9916,1,Сингапурский доллар,SGD,2022-11-19
242,59.1277,10,Таджикских сомони,TJS,2022-11-19
243,32.437,10,Турецких лир,TRY,2022-11-19
244,17.2497,1,Новый туркменский манат,TMT,2022-11-19
245,53.8661,10000,Узбекских сумов,UZS,2022-11-19
246,16.3495,10,Украинских гривен,UAH,2022-11-19
247,25.8075,10,Чешских крон,CZK,2022-11-19
248,56.8709,10,Шведских крон,SEK,2022-11-19
249,63.4782,1,Швейцарский франк,CHF,2022-11-19
250,34.7197,10,Южноафриканских рэндов,ZAR,2022-11-19
251,45.0452,1000,Вон Республики Корея,KRW,2022-11-19
252,43.0567,100,Японских иен,JPY,2022-11-19
253,43.0567,100,Японских иен,JPY,2022-11-17
254,43.0567,100,Японских иен,JPY,2022-11-18
255,43.0567,100,Японских иен,JPY,2022-10-20
